"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"1","Prod_Wet_Mass","Prod_Rich",0.064,0.022,127,2.861,0.005,0.243,"**"
"2","Invert_Biomass","Prod_Rich",0.011,0.017,124,0.617,0.538,0.025,""
"3","Invert_Biomass","Prod_Wet_Mass",0.38,0.077,124,4.916,0,0.234,"***"
"4","Invert_Biomass","Invert_Rich",0.98,0.158,124,6.189,0,0.299,"***"
"5","Invert_Biomass","Invert_Abund",0.005,0,124,9.344,0,0.481,"***"
"6","Invert_Rich","Prod_Rich",0.026,0.01,125,2.724,0.007,0.202,"**"
"7","Invert_Rich","Prod_Wet_Mass",0.093,0.043,125,2.186,0.031,0.188,"*"
"8","Invert_Rich","Invert_Abund",0.001,0,125,4.412,0,0.38,"***"
"9","Invert_Abund","Prod_Rich",3.542,3.068,126,1.155,0.25,0.086,""
"10","Invert_Abund","Prod_Wet_Mass",80.585,11.83,126,6.812,0,0.509,"***"
