"","contrast","f.model","r2","p.value"
"1","Gracilaria tikvahiae - Codium fragile",9.16,0.22,0.01
"2","Gracilaria vermiculophylla - Codium fragile",14.89,0.31,0.01
"3","Gymnogongrus griffithsiae - Codium fragile",26.05,0.44,0.01
"4","3 species native - Codium fragile",19.07,0.37,0.01
"5","3 species invasive - Codium fragile",23.95,0.42,0.01
"6","4 species - Codium fragile",18.57,0.36,0.01
"7","Gracilaria vermiculophylla - Gracilaria tikvahiae",1.34,0.04,0.26
"8","Gymnogongrus griffithsiae - Gracilaria tikvahiae",6.49,0.16,0.01
"9","3 species native -Gracilaria tikvahiae",2.75,0.08,0.08
"10","3 species invasive - Gracilaria tikvahiae",4.55,0.12,0.01
"11","4 species - Gracilaria tikvahiae",2.16,0.06,0.14
"12","Gymnogongrus griffithsiae - Gracilaria vermiculophylla",3.23,0.09,0.07
"13","3 species native - Gracilaria vermiculophylla",1.05,0.03,0.4
"14","3 species invasive - Gracilaria vermiculophylla",1.54,0.04,0.19
"15","4 species - Gracilaria vermiculophylla",0.76,0.02,0.39
"16","3 species native - Gymnogongrus griffithsiae",1.13,0.03,0.29
"17","3 species invasive - Gymnogongrus griffithsiae",0.31,0.01,0.84
"18","4 species - Gymnogongrus griffithsiae",0.91,0.03,0.28
"19","3 species invasive -  3 species native",0.57,0.02,0.55
"20","4 species - 3 species native",0.23,0.01,0.89
"21","4 species - 3 species invasive",0.33,0.01,0.77
